647,434244.17230400000,428652.92045500000
646,434546.27638200000,428380.45163300000
6212,434644.81909500000,428412.41143200000
651,434758.67587900000,428527.59987400000
650,434821.65243100000,428439.02503900000
729,434905.47960200000,428565.17717300000
1369,434971.99245400000,428663.51174800000
3272,434841.20700700000,428733.76145600000
648,435685.30319000000,428542.55211700000
7021,436980.80655400000,428998.46775900000
649,436750.91014800000,429322.02959800000
5065,431403.44706800000,428136.61560600000
522,429082.59431600000,428542.57973400000
713,430355.62685000000,428468.76532800000
520,430560.60164900000,428487.11195300000
523,430643.32241000000,428467.43340400000
7108,431712.22361800000,430475.40577900000
512,431291.50574000000,428914.04357300000
7019,430890.03511800000,430291.35139900000
420,429224.13674600000,429959.92991600000
478,429283.23887500000,431534.21915800000
480,429337.32625900000,431556.29907600000
473,429212.04232000000,431519.30711300000
681,429194.49964700000,431485.21984500000
461,428426.80126800000,431026.36997900000
477,428063.02169600000,430957.04975800000
464,428121.01993800000,430833.40759600000
454,428199.15022400000,430892.90483700000
474,428143.71823300000,430924.94286600000
457,428198.12219400000,430927.03543500000
423,428529.78825200000,430768.35512000000
422,428520.55866500000,430872.02448700000
479,429232.29172000000,431720.60501200000
7018,429346.84570500000,431731.29728700000
419,428811.39695900000,429527.76376700000
424,428642.90444000000,429159.94088600000
425,429651.04962300000,429642.92211100000
462,428694.90612800000,430929.53154300000
471,428651.68921800000,431054.18974600000
469,428815.59073900000,431092.38283000000
470,428714.16028100000,431066.97595100000
460,428745.94485800000,431019.91263600000
716,428330.86633900000,429755.51268100000
427,428391.68159000000,429677.02111100000
482,428605.23572900000,431234.78699800000
475,428610.20401700000,431015.43710400000
5077,429369.39534900000,431386.76321400000
7062,428931.52108100000,432290.53457100000
488,437993.22915800000,430365.09141800000
493,438038.86780500000,430483.54085600000
489,438561.99614500000,430028.95943000000
7112,438714.24521100000,429994.21847800000
771,438844.39888700000,430556.00159900000
492,440158.62900100000,429612.67627100000
411,440347.87605000000,429853.91460000000
3285,439682.13231400000,432608.15355400000
414,441197.65811800000,430049.92732100000
402,441591.18915700000,429891.37567000000
761,441589.57347800000,430063.47685600000
760,441691.67609200000,429958.88328700000
759,441693.75113100000,429991.25389800000
412,441710.55894800000,430039.80981400000
5474,441438.10630800000,430047.48745900000
415,441797.71059300000,429951.20564200000
7024,441814.93341800000,430023.00199700000
703,441745.21210200000,430084.00814800000
7022,442032.08508600000,430011.43872800000
5480,441447.57839000000,430283.25264500000
7044,441654.00646800000,430317.01329600000
416,441557.19881700000,430290.57423200000
399,441734.13717000000,430447.58159800000
405,441704.44406700000,430442.90391800000
413,441332.16119000000,430548.21659500000
756,441254.75276500000,430558.62320900000
5475,441976.70910400000,430552.99751500000
5476,441844.90722700000,430588.90507800000
481,428230.56448200000,431008.91754800000
5477,441916.81783900000,430580.80087900000
5478,442179.12939700000,430665.68781400000
401,442222.84799000000,430760.59359300000
5479,441286.68355200000,431219.49432800000
7001,441121.18050800000,431166.10042600000
